,data_granularity,zone,country
0,CH01,CH00,CH
1,CH02,CH00,CH
2,CH03,CH00,CH
3,CH04,CH00,CH
4,CH05,CH00,CH
5,CH06,CH00,CH
6,CH07,CH00,CH
7,ITCN,ITCN,IT
8,ITCS,ITCS,IT
9,ITN1,ITN1,IT
10,ITS1,ITS1,IT
11,ITSA,ITSA,IT
12,ITSI,ITSI,IT
13,DKE1,DKE1,DK
14,DKW1,DKW1,DK
15,AT00,AT00,AT
16,BE00,BE00,BE
17,CZ00,CZ00,CZ
18,DE00,DE00,DE
19,ES00,ES00,ES
20,FR00,FR00,FR
21,UK00,UK00,UK
22,HU00,HU00,HU
23,LU00,LU00,LU
24,NL00,NL00,NL
25,PL00,PL00,PL
26,PT00,PT00,PT
27,SI00,SI00,SI
28,SK00,SK00,SK
29,HR00,HR00,HR
30,SE01,SE01,SE
31,SE02,SE02,SE
32,SE03,SE03,SE
33,SE04,SE04,SE
34,NON1,NON1,NO
35,NOM1,NOM1,NO
36,NOS0,NOS0,NO
