index,node,zone,plant_type,tech,upper_node,lower_node,eta,eta_pump
AT00_dam,AT00,AT00,hydro,dam,AT00_dam_upper_node,AT00_dam_lower_node,1,0.75
BE00_dam,BE00,BE00,hydro,dam,BE00_dam_upper_node,BE00_dam_lower_node,1,0.75
CH00_dam,CH00,CH00,hydro,dam,CH00_dam_upper_node,CH00_dam_lower_node,1,0.75
CZ00_dam,CZ00,CZ00,hydro,dam,CZ00_dam_upper_node,CZ00_dam_lower_node,1,0.75
DE00_dam,DE00,DE00,hydro,dam,DE00_dam_upper_node,DE00_dam_lower_node,1,0.75
ES00_dam,ES00,ES00,hydro,dam,ES00_dam_upper_node,ES00_dam_lower_node,1,0.75
FR00_dam,FR00,FR00,hydro,dam,FR00_dam_upper_node,FR00_dam_lower_node,1,0.75
HR00_dam,HR00,HR00,hydro,dam,HR00_dam_upper_node,HR00_dam_lower_node,1,0.75
HU00_dam,HU00,HU00,hydro,dam,HU00_dam_upper_node,HU00_dam_lower_node,1,0.75
ITCN_dam,ITCN,ITCN,hydro,dam,ITCN_dam_upper_node,ITCN_dam_lower_node,1,0.75
ITCS_dam,ITCS,ITCS,hydro,dam,ITCS_dam_upper_node,ITCS_dam_lower_node,1,0.75
ITN1_dam,ITN1,ITN1,hydro,dam,ITN1_dam_upper_node,ITN1_dam_lower_node,1,0.75
ITS1_dam,ITS1,ITS1,hydro,dam,ITS1_dam_upper_node,ITS1_dam_lower_node,1,0.75
ITSA_dam,ITSA,ITSA,hydro,dam,ITSA_dam_upper_node,ITSA_dam_lower_node,1,0.75
ITSI_dam,ITSI,ITSI,hydro,dam,ITSI_dam_upper_node,ITSI_dam_lower_node,1,0.75
LU00_dam,LU00,LU00,hydro,dam,LU00_dam_upper_node,LU00_dam_lower_node,1,0.75
NL00_dam,NL00,NL00,hydro,dam,NL00_dam_upper_node,NL00_dam_lower_node,1,0.75
NOM1_dam,NOM1,NOM1,hydro,dam,NOM1_dam_upper_node,NOM1_dam_lower_node,1,0.75
NON1_dam,NON1,NON1,hydro,dam,NON1_dam_upper_node,NON1_dam_lower_node,1,0.75
NOS0_dam,NOS0,NOS0,hydro,dam,NOS0_dam_upper_node,NOS0_dam_lower_node,1,0.75
PL00_dam,PL00,PL00,hydro,dam,PL00_dam_upper_node,PL00_dam_lower_node,1,0.75
PT00_dam,PT00,PT00,hydro,dam,PT00_dam_upper_node,PT00_dam_lower_node,1,0.75
SE01_dam,SE01,SE01,hydro,dam,SE01_dam_upper_node,SE01_dam_lower_node,1,0.75
SE02_dam,SE02,SE02,hydro,dam,SE02_dam_upper_node,SE02_dam_lower_node,1,0.75
SE03_dam,SE03,SE03,hydro,dam,SE03_dam_upper_node,SE03_dam_lower_node,1,0.75
SE04_dam,SE04,SE04,hydro,dam,SE04_dam_upper_node,SE04_dam_lower_node,1,0.75
SI00_dam,SI00,SI00,hydro,dam,SI00_dam_upper_node,SI00_dam_lower_node,1,0.75
SK00_dam,SK00,SK00,hydro,dam,SK00_dam_upper_node,SK00_dam_lower_node,1,0.75
UK00_dam,UK00,UK00,hydro,dam,UK00_dam_upper_node,UK00_dam_lower_node,1,0.75
AT00_psp_closed,AT00,AT00,hydro,psp_closed,AT00_psp_closed_upper_node,AT00_psp_closed_lower_node,1,0.75
BE00_psp_closed,BE00,BE00,hydro,psp_closed,BE00_psp_closed_upper_node,BE00_psp_closed_lower_node,1,0.75
CH00_psp_closed,CH00,CH00,hydro,psp_closed,CH00_psp_closed_upper_node,CH00_psp_closed_lower_node,1,0.75
CZ00_psp_closed,CZ00,CZ00,hydro,psp_closed,CZ00_psp_closed_upper_node,CZ00_psp_closed_lower_node,1,0.75
DE00_psp_closed,DE00,DE00,hydro,psp_closed,DE00_psp_closed_upper_node,DE00_psp_closed_lower_node,1,0.75
ES00_psp_closed,ES00,ES00,hydro,psp_closed,ES00_psp_closed_upper_node,ES00_psp_closed_lower_node,1,0.75
FR00_psp_closed,FR00,FR00,hydro,psp_closed,FR00_psp_closed_upper_node,FR00_psp_closed_lower_node,1,0.75
HR00_psp_closed,HR00,HR00,hydro,psp_closed,HR00_psp_closed_upper_node,HR00_psp_closed_lower_node,1,0.75
HU00_psp_closed,HU00,HU00,hydro,psp_closed,HU00_psp_closed_upper_node,HU00_psp_closed_lower_node,1,0.75
ITCN_psp_closed,ITCN,ITCN,hydro,psp_closed,ITCN_psp_closed_upper_node,ITCN_psp_closed_lower_node,1,0.75
ITCS_psp_closed,ITCS,ITCS,hydro,psp_closed,ITCS_psp_closed_upper_node,ITCS_psp_closed_lower_node,1,0.75
ITN1_psp_closed,ITN1,ITN1,hydro,psp_closed,ITN1_psp_closed_upper_node,ITN1_psp_closed_lower_node,1,0.75
ITS1_psp_closed,ITS1,ITS1,hydro,psp_closed,ITS1_psp_closed_upper_node,ITS1_psp_closed_lower_node,1,0.75
ITSA_psp_closed,ITSA,ITSA,hydro,psp_closed,ITSA_psp_closed_upper_node,ITSA_psp_closed_lower_node,1,0.75
ITSI_psp_closed,ITSI,ITSI,hydro,psp_closed,ITSI_psp_closed_upper_node,ITSI_psp_closed_lower_node,1,0.75
LU00_psp_closed,LU00,LU00,hydro,psp_closed,LU00_psp_closed_upper_node,LU00_psp_closed_lower_node,1,0.75
NL00_psp_closed,NL00,NL00,hydro,psp_closed,NL00_psp_closed_upper_node,NL00_psp_closed_lower_node,1,0.75
NOM1_psp_closed,NOM1,NOM1,hydro,psp_closed,NOM1_psp_closed_upper_node,NOM1_psp_closed_lower_node,1,0.75
NON1_psp_closed,NON1,NON1,hydro,psp_closed,NON1_psp_closed_upper_node,NON1_psp_closed_lower_node,1,0.75
NOS0_psp_closed,NOS0,NOS0,hydro,psp_closed,NOS0_psp_closed_upper_node,NOS0_psp_closed_lower_node,1,0.75
PL00_psp_closed,PL00,PL00,hydro,psp_closed,PL00_psp_closed_upper_node,PL00_psp_closed_lower_node,1,0.75
PT00_psp_closed,PT00,PT00,hydro,psp_closed,PT00_psp_closed_upper_node,PT00_psp_closed_lower_node,1,0.75
SE01_psp_closed,SE01,SE01,hydro,psp_closed,SE01_psp_closed_upper_node,SE01_psp_closed_lower_node,1,0.75
SE02_psp_closed,SE02,SE02,hydro,psp_closed,SE02_psp_closed_upper_node,SE02_psp_closed_lower_node,1,0.75
SE03_psp_closed,SE03,SE03,hydro,psp_closed,SE03_psp_closed_upper_node,SE03_psp_closed_lower_node,1,0.75
SE04_psp_closed,SE04,SE04,hydro,psp_closed,SE04_psp_closed_upper_node,SE04_psp_closed_lower_node,1,0.75
SI00_psp_closed,SI00,SI00,hydro,psp_closed,SI00_psp_closed_upper_node,SI00_psp_closed_lower_node,1,0.75
SK00_psp_closed,SK00,SK00,hydro,psp_closed,SK00_psp_closed_upper_node,SK00_psp_closed_lower_node,1,0.75
UK00_psp_closed,UK00,UK00,hydro,psp_closed,UK00_psp_closed_upper_node,UK00_psp_closed_lower_node,1,0.75
AT00_psp_open,AT00,AT00,hydro,psp_open,AT00_psp_open_upper_node,AT00_psp_open_lower_node,1,0.75
BE00_psp_open,BE00,BE00,hydro,psp_open,BE00_psp_open_upper_node,BE00_psp_open_lower_node,1,0.75
CH00_psp_open,CH00,CH00,hydro,psp_open,CH00_psp_open_upper_node,CH00_psp_open_lower_node,1,0.75
CZ00_psp_open,CZ00,CZ00,hydro,psp_open,CZ00_psp_open_upper_node,CZ00_psp_open_lower_node,1,0.75
DE00_psp_open,DE00,DE00,hydro,psp_open,DE00_psp_open_upper_node,DE00_psp_open_lower_node,1,0.75
ES00_psp_open,ES00,ES00,hydro,psp_open,ES00_psp_open_upper_node,ES00_psp_open_lower_node,1,0.75
FR00_psp_open,FR00,FR00,hydro,psp_open,FR00_psp_open_upper_node,FR00_psp_open_lower_node,1,0.75
HR00_psp_open,HR00,HR00,hydro,psp_open,HR00_psp_open_upper_node,HR00_psp_open_lower_node,1,0.75
HU00_psp_open,HU00,HU00,hydro,psp_open,HU00_psp_open_upper_node,HU00_psp_open_lower_node,1,0.75
ITCN_psp_open,ITCN,ITCN,hydro,psp_open,ITCN_psp_open_upper_node,ITCN_psp_open_lower_node,1,0.75
ITCS_psp_open,ITCS,ITCS,hydro,psp_open,ITCS_psp_open_upper_node,ITCS_psp_open_lower_node,1,0.75
ITN1_psp_open,ITN1,ITN1,hydro,psp_open,ITN1_psp_open_upper_node,ITN1_psp_open_lower_node,1,0.75
ITS1_psp_open,ITS1,ITS1,hydro,psp_open,ITS1_psp_open_upper_node,ITS1_psp_open_lower_node,1,0.75
ITSA_psp_open,ITSA,ITSA,hydro,psp_open,ITSA_psp_open_upper_node,ITSA_psp_open_lower_node,1,0.75
ITSI_psp_open,ITSI,ITSI,hydro,psp_open,ITSI_psp_open_upper_node,ITSI_psp_open_lower_node,1,0.75
LU00_psp_open,LU00,LU00,hydro,psp_open,LU00_psp_open_upper_node,LU00_psp_open_lower_node,1,0.75
NL00_psp_open,NL00,NL00,hydro,psp_open,NL00_psp_open_upper_node,NL00_psp_open_lower_node,1,0.75
NOM1_psp_open,NOM1,NOM1,hydro,psp_open,NOM1_psp_open_upper_node,NOM1_psp_open_lower_node,1,0.75
NON1_psp_open,NON1,NON1,hydro,psp_open,NON1_psp_open_upper_node,NON1_psp_open_lower_node,1,0.75
NOS0_psp_open,NOS0,NOS0,hydro,psp_open,NOS0_psp_open_upper_node,NOS0_psp_open_lower_node,1,0.75
PL00_psp_open,PL00,PL00,hydro,psp_open,PL00_psp_open_upper_node,PL00_psp_open_lower_node,1,0.75
PT00_psp_open,PT00,PT00,hydro,psp_open,PT00_psp_open_upper_node,PT00_psp_open_lower_node,1,0.75
SE01_psp_open,SE01,SE01,hydro,psp_open,SE01_psp_open_upper_node,SE01_psp_open_lower_node,1,0.75
SE02_psp_open,SE02,SE02,hydro,psp_open,SE02_psp_open_upper_node,SE02_psp_open_lower_node,1,0.75
SE03_psp_open,SE03,SE03,hydro,psp_open,SE03_psp_open_upper_node,SE03_psp_open_lower_node,1,0.75
SE04_psp_open,SE04,SE04,hydro,psp_open,SE04_psp_open_upper_node,SE04_psp_open_lower_node,1,0.75
SI00_psp_open,SI00,SI00,hydro,psp_open,SI00_psp_open_upper_node,SI00_psp_open_lower_node,1,0.75
SK00_psp_open,SK00,SK00,hydro,psp_open,SK00_psp_open_upper_node,SK00_psp_open_lower_node,1,0.75
UK00_psp_open,UK00,UK00,hydro,psp_open,UK00_psp_open_upper_node,UK00_psp_open_lower_node,1,0.75
AT00_ror,AT00,AT00,hydro,ror,AT00_ror_upper_node,AT00_ror_lower_node,1,0.75
BE00_ror,BE00,BE00,hydro,ror,BE00_ror_upper_node,BE00_ror_lower_node,1,0.75
CH00_ror,CH00,CH00,hydro,ror,CH00_ror_upper_node,CH00_ror_lower_node,1,0.75
CZ00_ror,CZ00,CZ00,hydro,ror,CZ00_ror_upper_node,CZ00_ror_lower_node,1,0.75
DE00_ror,DE00,DE00,hydro,ror,DE00_ror_upper_node,DE00_ror_lower_node,1,0.75
ES00_ror,ES00,ES00,hydro,ror,ES00_ror_upper_node,ES00_ror_lower_node,1,0.75
FR00_ror,FR00,FR00,hydro,ror,FR00_ror_upper_node,FR00_ror_lower_node,1,0.75
HR00_ror,HR00,HR00,hydro,ror,HR00_ror_upper_node,HR00_ror_lower_node,1,0.75
HU00_ror,HU00,HU00,hydro,ror,HU00_ror_upper_node,HU00_ror_lower_node,1,0.75
ITCN_ror,ITCN,ITCN,hydro,ror,ITCN_ror_upper_node,ITCN_ror_lower_node,1,0.75
ITCS_ror,ITCS,ITCS,hydro,ror,ITCS_ror_upper_node,ITCS_ror_lower_node,1,0.75
ITN1_ror,ITN1,ITN1,hydro,ror,ITN1_ror_upper_node,ITN1_ror_lower_node,1,0.75
ITS1_ror,ITS1,ITS1,hydro,ror,ITS1_ror_upper_node,ITS1_ror_lower_node,1,0.75
ITSA_ror,ITSA,ITSA,hydro,ror,ITSA_ror_upper_node,ITSA_ror_lower_node,1,0.75
ITSI_ror,ITSI,ITSI,hydro,ror,ITSI_ror_upper_node,ITSI_ror_lower_node,1,0.75
LU00_ror,LU00,LU00,hydro,ror,LU00_ror_upper_node,LU00_ror_lower_node,1,0.75
NL00_ror,NL00,NL00,hydro,ror,NL00_ror_upper_node,NL00_ror_lower_node,1,0.75
NOM1_ror,NOM1,NOM1,hydro,ror,NOM1_ror_upper_node,NOM1_ror_lower_node,1,0.75
NON1_ror,NON1,NON1,hydro,ror,NON1_ror_upper_node,NON1_ror_lower_node,1,0.75
NOS0_ror,NOS0,NOS0,hydro,ror,NOS0_ror_upper_node,NOS0_ror_lower_node,1,0.75
PL00_ror,PL00,PL00,hydro,ror,PL00_ror_upper_node,PL00_ror_lower_node,1,0.75
PT00_ror,PT00,PT00,hydro,ror,PT00_ror_upper_node,PT00_ror_lower_node,1,0.75
SE01_ror,SE01,SE01,hydro,ror,SE01_ror_upper_node,SE01_ror_lower_node,1,0.75
SE02_ror,SE02,SE02,hydro,ror,SE02_ror_upper_node,SE02_ror_lower_node,1,0.75
SE03_ror,SE03,SE03,hydro,ror,SE03_ror_upper_node,SE03_ror_lower_node,1,0.75
SE04_ror,SE04,SE04,hydro,ror,SE04_ror_upper_node,SE04_ror_lower_node,1,0.75
SI00_ror,SI00,SI00,hydro,ror,SI00_ror_upper_node,SI00_ror_lower_node,1,0.75
SK00_ror,SK00,SK00,hydro,ror,SK00_ror_upper_node,SK00_ror_lower_node,1,0.75
UK00_ror,UK00,UK00,hydro,ror,UK00_ror_upper_node,UK00_ror_lower_node,1,0.75
